,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Ano 1  - (2024),,Ano 2  - (2025),,,,Ano 3  - (2026),,,,Ano 2  - (2027),,,
,Tarefas,3º T,4º T,1º T,2º T,3º T,4º T,1º T,2º T,3º T,4º T,1º T,2º T,3º T,4º T
,Créditos como Aluno Especial,X,X,,,,,,,,,,,,
,Créditos como Aluno Regular,,,X,X,,,,,,,,,,
,Fundamentação Teórica - Estudo sobre modelos de TTS conversacionais,,,X,X,X,X,X,X,X,X,,,,
,Fundamentação Teórica - Revisão de métricas de avaliação de modelos de TTS conversacionais,,,,,,,X,X,X,X,,,,
,Fundamentação Teórica - Revisão de paradigmas de estruturação de frameworks para criação de corpora de áudio,,,,,,,X,X,X,X,,,,
,Segmentação do MuPe para criação do MuPeTalk,,,,,X,X,X,,,,,,,
,Disponibilização do MuPeTalk no HuggingFace,,,,, ,,X,X,,,,,,
,Treinamento do MuPeTalk usando FastSpeech2 Modificado,,,,,,,X,X,,,,,,
,Validação dos áudios gerados pelo FastSpeech2 Modificado segundo as métricas do DailyTalk,,,,,,,X,X,,,,,,
,Publicação do MuPeTalk,,,,,,,,X,,,,,,
,Obtenção dos dados revisados originais (SRT) do Pecege,,,,,,X,X,X,X,X,,,,
,Estruturação do pipeline de re-anotação do PecegeTalk,,,,,,,,,,,X,,,
,Validação das rotulações do PecegeTalk,,,,,,,,,,,,X,,
,Treinamento do PecegeTalk em dois modelos SOTA (AR & NAR),,,,,,,,,,,,,X,
,Validação do treinamento dos áudios sintetizados pelos modelos AR & NAR usando métricas apropriadas,,,,,,,,,,,,,,
,Publicação e disponibilização do PecegeTalk,,,,,,,,,,,,,,X
,Estruturação do framework DiaTTS-Toolkit ,,,,,,,,,,,,,,
,Publicação de um artigo sobre o DiaTTS-Toolkit ,,,,,,,,,,,,,,
,Defesa,,,,,,,,,,,,,,